time	V(n004)
Step Information: Ampl=6  (Run: 1/14)
3.468130868809601e-007	1.526270e-003
3.487662118809600e-007	1.526480e-003
3.507193368809600e-007	1.526712e-003
3.526724618809600e-007	1.526965e-003
3.546255868809600e-007	1.527239e-003
3.565787118809600e-007	1.527533e-003
3.585318368809600e-007	1.527845e-003
3.604849618809600e-007	1.528176e-003
3.624380868809600e-007	1.528524e-003
3.643912118809600e-007	1.528890e-003
3.663443368809600e-007	1.529271e-003
3.682974618809600e-007	1.529668e-003
3.702505868809600e-007	1.530080e-003
3.722037118809600e-007	1.530506e-003
3.741568368809600e-007	1.530946e-003
3.761099618809600e-007	1.531400e-003
3.780630868809600e-007	1.531866e-003
3.800162118809600e-007	1.532344e-003
3.819693368809600e-007	1.532834e-003
3.839224618809600e-007	1.533336e-003
3.858755868809599e-007	1.533848e-003
3.878287118809599e-007	1.534371e-003
3.897818368809599e-007	1.534903e-003
3.917349618809599e-007	1.535446e-003
3.936880868809599e-007	1.535997e-003
3.956412118809599e-007	1.536558e-003
3.975943368809599e-007	1.537127e-003
3.995474618809599e-007	1.537704e-003
4.015005868809599e-007	1.538288e-003
4.034537118809599e-007	1.538881e-003
4.054068368809599e-007	1.539480e-003
4.073599618809599e-007	1.540086e-003
4.093130868809599e-007	1.540699e-003
4.112662118809599e-007	1.541318e-003
4.132193368809599e-007	1.541943e-003
4.151724618809599e-007	1.542574e-003
4.171255868809599e-007	1.543210e-003
4.190787118809599e-007	1.543852e-003
4.210318368809598e-007	1.544499e-003
4.229849618809598e-007	1.545150e-003
4.249380868809598e-007	1.545806e-003
4.268912118809598e-007	1.546467e-003
4.288443368809598e-007	1.547132e-003
4.307974618809598e-007	1.547800e-003
4.327505868809598e-007	1.548473e-003
4.347037118809598e-007	1.549149e-003
4.366568368809598e-007	1.549829e-003
4.386099618809598e-007	1.550512e-003
4.405630868809598e-007	1.551198e-003
4.425162118809598e-007	1.551887e-003
4.444693368809598e-007	1.552579e-003
4.464224618809598e-007	1.553274e-003
4.483755868809598e-007	1.553971e-003
4.503287118809598e-007	1.554671e-003
4.522818368809598e-007	1.555373e-003
4.542349618809598e-007	1.556077e-003
4.561880868809597e-007	1.556783e-003
4.581412118809597e-007	1.557492e-003
4.600943368809597e-007	1.558202e-003
4.620474618809597e-007	1.558914e-003
4.640005868809597e-007	1.559627e-003
4.659537118809597e-007	1.560342e-003
4.679068368809597e-007	1.561059e-003
4.698599618809597e-007	1.561777e-003
4.718130868809597e-007	1.562496e-003
4.737662118809597e-007	1.563216e-003
4.757193368809597e-007	1.563938e-003
4.776724618809597e-007	1.564660e-003
4.796255868809598e-007	1.565383e-003
4.815787118809598e-007	1.566108e-003
4.835318368809599e-007	1.566833e-003
4.854849618809599e-007	1.567559e-003
4.874380868809600e-007	1.568286e-003
4.893912118809600e-007	1.569013e-003
4.913443368809601e-007	1.569740e-003
4.932974618809601e-007	1.570469e-003
4.952505868809602e-007	1.571198e-003
4.972037118809602e-007	1.571927e-003
4.991568368809603e-007	1.572656e-003
5.011099618809603e-007	1.573386e-003
5.030630868809604e-007	1.574116e-003
5.050162118809604e-007	1.574847e-003
5.069693368809605e-007	1.575577e-003
5.089224618809605e-007	1.576308e-003
5.108755868809605e-007	1.577039e-003
5.128287118809606e-007	1.577770e-003
5.147818368809606e-007	1.578500e-003
5.167349618809607e-007	1.579231e-003
5.186880868809607e-007	1.579962e-003
5.206412118809608e-007	1.580693e-003
5.225943368809608e-007	1.581423e-003
5.245474618809609e-007	1.582154e-003
5.265005868809609e-007	1.582884e-003
5.284537118809610e-007	1.583614e-003
5.304068368809610e-007	1.584344e-003
5.323599618809611e-007	1.585073e-003
5.343130868809611e-007	1.585803e-003
5.362662118809612e-007	1.586532e-003
5.382193368809612e-007	1.587260e-003
5.401724618809613e-007	1.587989e-003
5.421255868809613e-007	1.588717e-003
5.440787118809614e-007	1.589444e-003
5.460318368809614e-007	1.590171e-003
5.479849618809614e-007	1.590898e-003
5.499380868809615e-007	1.591624e-003
5.518912118809615e-007	1.592350e-003
5.538443368809616e-007	1.593076e-003
5.557974618809616e-007	1.593800e-003
5.577505868809617e-007	1.594525e-003
5.597037118809617e-007	1.595249e-003
5.616568368809618e-007	1.595972e-003
5.636099618809618e-007	1.596695e-003
5.655630868809619e-007	1.597417e-003
5.675162118809619e-007	1.598139e-003
5.694693368809620e-007	1.598860e-003
5.714224618809620e-007	1.599580e-003
5.733755868809621e-007	1.600300e-003
5.753287118809621e-007	1.601019e-003
5.772818368809622e-007	1.601738e-003
5.792349618809622e-007	1.602456e-003
5.811880868809623e-007	1.603174e-003
5.831412118809623e-007	1.603890e-003
5.850943368809624e-007	1.604606e-003
5.870474618809624e-007	1.605322e-003
5.890005868809624e-007	1.606036e-003
5.909537118809625e-007	1.606751e-003
5.929068368809625e-007	1.607464e-003
5.948599618809626e-007	1.608177e-003
5.968130868809626e-007	1.608889e-003
5.987662118809627e-007	1.609600e-003
6.007193368809627e-007	1.610311e-003
6.026724618809628e-007	1.611021e-003
6.046255868809628e-007	1.611730e-003
6.065787118809629e-007	1.612438e-003
6.085318368809629e-007	1.613146e-003
6.104849618809630e-007	1.613853e-003
6.124380868809630e-007	1.614559e-003
6.143912118809631e-007	1.615265e-003
6.163443368809631e-007	1.615970e-003
6.182974618809632e-007	1.616674e-003
6.202505868809632e-007	1.617377e-003
6.222037118809633e-007	1.618080e-003
6.241568368809633e-007	1.618781e-003
6.261099618809633e-007	1.619482e-003
6.280630868809634e-007	1.620183e-003
6.300162118809634e-007	1.620882e-003
6.319693368809635e-007	1.621581e-003
6.339224618809635e-007	1.622279e-003
6.358755868809636e-007	1.622977e-003
6.378287118809636e-007	1.623673e-003
6.397818368809637e-007	1.624369e-003
6.417349618809637e-007	1.625064e-003
6.436880868809638e-007	1.625758e-003
6.456412118809638e-007	1.626451e-003
6.475943368809639e-007	1.627144e-003
6.495474618809639e-007	1.627836e-003
6.515005868809640e-007	1.628527e-003
6.534537118809640e-007	1.629218e-003
6.554068368809641e-007	1.629907e-003
6.573599618809641e-007	1.630596e-003
6.593130868809642e-007	1.631284e-003
6.612662118809642e-007	1.631972e-003
6.632193368809643e-007	1.632658e-003
6.651724618809643e-007	1.633344e-003
6.671255868809643e-007	1.634029e-003
6.690787118809644e-007	1.634713e-003
6.710318368809644e-007	1.635397e-003
6.729849618809645e-007	1.636079e-003
6.749380868809645e-007	1.636761e-003
6.768912118809646e-007	1.637442e-003
6.788443368809646e-007	1.638123e-003
6.807974618809647e-007	1.638802e-003
6.827505868809647e-007	1.639481e-003
6.847037118809648e-007	1.640159e-003
6.866568368809648e-007	1.640836e-003
6.886099618809649e-007	1.641513e-003
6.905630868809649e-007	1.642189e-003
6.925162118809650e-007	1.642863e-003
6.944693368809650e-007	1.643538e-003
6.964224618809651e-007	1.644211e-003
6.983755868809651e-007	1.644884e-003
7.003287118809652e-007	1.645556e-003
7.022818368809652e-007	1.646227e-003
7.042349618809652e-007	1.646897e-003
7.061880868809653e-007	1.647567e-003
7.081412118809653e-007	1.648236e-003
7.100943368809654e-007	1.648904e-003
7.120474618809654e-007	1.649571e-003
7.140005868809655e-007	1.650238e-003
7.159537118809655e-007	1.650904e-003
7.179068368809656e-007	1.651569e-003
7.198599618809656e-007	1.652233e-003
7.218130868809657e-007	1.652897e-003
7.237662118809657e-007	1.653559e-003
7.257193368809658e-007	1.654221e-003
7.276724618809658e-007	1.654883e-003
7.296255868809659e-007	1.655543e-003
7.315787118809659e-007	1.656203e-003
7.335318368809660e-007	1.656862e-003
7.354849618809660e-007	1.657521e-003
7.374380868809661e-007	1.658178e-003
7.393912118809661e-007	1.658835e-003
7.413443368809661e-007	1.659491e-003
7.432974618809662e-007	1.660147e-003
7.452505868809662e-007	1.660801e-003
7.472037118809663e-007	1.661455e-003
